track,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,labels,track_genre
Dive,0.71163817,-0.548078347,0.00421828,0.154446111,-0.62492936,-0.900479757,-0.741237475,-0.542582178,-1.156121557,1.345697745,0,other
Do Bad Well (feat. Nevve),-0.103327539,0.488628302,1.093387281,0.793307135,1.305610367,-0.877806634,-0.740975836,0.496153396,0.11946361,0.335847684,2,other
Do It Again,-0.554586242,1.08016092,1.261413353,1.001917279,0.240888457,-0.714270703,-0.732914868,0.399630433,0.36545515,0.193922036,2,dance
Dolerme,-1.068297424,0.128830112,-0.154806396,0.518216836,-0.030557129,0.892144195,-0.734833553,-0.328004208,-0.265394123,1.975837592,0,pop
Don't Stop,-0.298896941,0.988686804,0.307265302,-0.012417874,-0.512607048,-0.905303826,-0.741755271,-0.731915682,1.964400164,0.013488041,1,other
Don't Stop Me Now - 2011 Mix,-0.022821516,0.238599052,1.006373779,0.730325935,2.405432999,-0.887454771,-0.741284819,4.475869391,0.857438231,1.349853064,1,classical rock
Don't You (Forget About Me) - Remastered,0.848861077,0.476431754,0.763336068,0.40468176,-0.606208975,-0.991702897,-0.529459516,-0.550007022,2.115169173,0.51692647,1,pop
Don’t Delete The Kisses,1.028645611,0.488628302,0.778338396,0.61184406,-0.699810901,-0.998649556,1.321448452,1.491082394,-0.146365959,0.123353251,0,rock
Down On The Corner,-0.711939648,1.872936593,0.043224332,0.246384184,0.619976258,0.431445628,-0.732067656,-0.694791465,1.869177632,-0.372956656,1,classical rock
Dragula,0.191472447,0.409350735,1.300419405,0.584093723,-0.096078477,-1.001091982,-0.74149413,-0.661379671,0.889179075,0.230746763,2,rock
Dreams Tonite,-0.236700088,-0.078511217,0.277260646,0.676031797,-0.772352393,-0.975252823,-0.741749514,-0.298304835,0.159139664,-0.66823508,0,pop
Drifting,-0.259946022,0.561807595,-0.982934892,-0.339509892,-0.442405604,0.711241616,0.947678668,-0.594556081,-1.220396766,0.76187538,3,other
Driver's Seat,0.477772888,1.403369463,0.82334538,0.499636175,-0.477506326,-0.956438954,-0.59125612,0.295682627,2.329419869,0.515063741,1,other
Duality,0.667367047,-1.035940299,1.357428251,1.001917279,2.592636851,-1.000731142,-0.741028164,0.273408098,-0.757377205,0.902117407,2,other
Duck And Run,0.315674435,0.00076635,1.16839892,0.702816905,-0.318383052,-0.965363482,-0.741585081,-0.268605461,1.837436788,-1.098203165,2,metal
Dust On The Ground,0.525798509,0.494726577,-0.631880421,0.052855746,-0.622589312,0.824607232,-0.73585519,-0.379978111,-0.443936371,-0.321874886,0,rock
EDM Sux,-0.882170184,0.787443748,1.132393333,0.657933751,1.235408922,-0.982609528,1.301514063,1.298036469,-0.582802563,0.339967182,2,other
Eagle,0.248572769,-1.127414416,-1.162962827,-1.24067193,-0.365184015,1.258773421,1.525775933,-0.612375705,-1.047012406,-0.308370098,3,hip hop
